epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.8433,1.39149,2.06049,1.41344,0.59945,0.68419,0.64754,0.39514,1.3199,1.25876,1.33527,0.000236237,0.000236237,0.000236237
2,97.459,1.29255,1.32744,1.31056,0.62094,0.72294,0.71748,0.44223,1.30259,1.22881,1.37467,0.000458587,0.000458587,0.000458587
3,145.795,1.29137,1.25528,1.3035,0.62317,0.67396,0.67359,0.41458,1.30183,1.18553,1.33057,0.000665229,0.000665229,0.000665229
4,192.42,1.29549,1.23429,1.30958,0.64456,0.68135,0.69035,0.41862,1.30853,1.15896,1.34139,0.000643314,0.000643314,0.000643314
5,238.28,1.2634,1.17953,1.28807,0.65887,0.70095,0.71683,0.43767,1.31142,1.11758,1.35913,0.000619752,0.000619752,0.000619752
6,283.918,1.24244,1.10816,1.26984,0.66242,0.71904,0.72468,0.45092,1.29057,1.05184,1.30721,0.00059619,0.00059619,0.00059619
7,329.878,1.22956,1.09127,1.2658,0.6739,0.70155,0.72825,0.45775,1.24686,1.04483,1.30415,0.000572628,0.000572628,0.000572628
8,372.38,1.21221,1.06788,1.25784,0.69682,0.67404,0.75097,0.48602,1.24712,0.9872,1.28155,0.000549066,0.000549066,0.000549066
9,415.327,1.19129,1.01183,1.24095,0.70609,0.71576,0.73065,0.46679,1.2411,1.03061,1.30413,0.000525504,0.000525504,0.000525504
10,458.126,1.17451,0.9994,1.23011,0.78322,0.69553,0.75649,0.48856,1.22311,0.96191,1.28451,0.000501942,0.000501942,0.000501942
11,500.473,1.1698,0.98475,1.22655,0.69351,0.72311,0.74846,0.49038,1.19274,0.98336,1.26634,0.00047838,0.00047838,0.00047838
12,542.901,1.14712,0.94928,1.21249,0.70329,0.75146,0.74954,0.49004,1.18465,0.92255,1.25403,0.000454818,0.000454818,0.000454818
13,585.216,1.14732,0.94614,1.22012,0.71914,0.74389,0.75712,0.50084,1.18916,0.91121,1.2637,0.000431256,0.000431256,0.000431256
14,630.23,1.1252,0.92516,1.20107,0.76069,0.72619,0.77014,0.50589,1.20954,0.90629,1.26282,0.000407694,0.000407694,0.000407694
15,672.309,1.1077,0.89411,1.19536,0.7094,0.75626,0.7759,0.51307,1.18133,0.89673,1.25503,0.000384132,0.000384132,0.000384132
16,717.617,1.09005,0.87287,1.18464,0.74926,0.74913,0.7849,0.51454,1.18193,0.87863,1.24503,0.00036057,0.00036057,0.00036057
17,763.571,1.08152,0.85154,1.17803,0.72401,0.74184,0.76257,0.50696,1.16555,0.89668,1.24621,0.000337008,0.000337008,0.000337008
18,808.381,1.07226,0.83577,1.17191,0.74225,0.73875,0.76828,0.51466,1.16041,0.8853,1.2546,0.000313446,0.000313446,0.000313446
19,850.693,1.06055,0.82955,1.16921,0.74253,0.76424,0.78493,0.52268,1.1617,0.85649,1.24016,0.000289884,0.000289884,0.000289884
20,893.505,1.05587,0.80539,1.16552,0.72805,0.76761,0.78323,0.52519,1.14942,0.8425,1.23588,0.000266322,0.000266322,0.000266322
21,935.968,1.01254,0.74013,1.14166,0.77062,0.74643,0.78106,0.52254,1.15373,0.85993,1.23353,0.00024276,0.00024276,0.00024276
22,976.896,0.99592,0.6976,1.13867,0.73855,0.746,0.77295,0.5191,1.15062,0.86673,1.23624,0.000219198,0.000219198,0.000219198
23,1017.6,0.97175,0.66778,1.12159,0.76875,0.75321,0.7807,0.52689,1.14325,0.83068,1.23129,0.000195636,0.000195636,0.000195636
24,1058.86,0.95862,0.64316,1.11194,0.75138,0.76873,0.78839,0.53217,1.14038,0.83231,1.22319,0.000172074,0.000172074,0.000172074
25,1099.71,0.95917,0.62972,1.10871,0.74743,0.76573,0.78431,0.52735,1.14049,0.82526,1.23064,0.000148512,0.000148512,0.000148512
26,1140.53,0.93366,0.61673,1.10229,0.74099,0.78256,0.78795,0.53087,1.14582,0.82643,1.23005,0.00012495,0.00012495,0.00012495
27,1182.26,0.9246,0.59189,1.09318,0.76743,0.76055,0.7967,0.53859,1.15245,0.8146,1.23442,0.000101388,0.000101388,0.000101388
28,1223.41,0.90717,0.58743,1.08692,0.74611,0.77777,0.78956,0.53675,1.14397,0.81811,1.23276,7.7826e-05,7.7826e-05,7.7826e-05
29,1264.59,0.89244,0.56823,1.07669,0.76557,0.77737,0.79706,0.53812,1.14449,0.81284,1.23451,5.4264e-05,5.4264e-05,5.4264e-05
30,1305.42,0.88707,0.55316,1.07544,0.75194,0.76873,0.78897,0.53572,1.14571,0.80646,1.23163,3.0702e-05,3.0702e-05,3.0702e-05
